word,rating
"helps",2.40957340279997
"uncommon",1.30301742842638
"blank",3.72993100617714
"iraqis",5.58540211613262
"explored",3.67277344092483
"concentrate",2.68155925584734
"fabrication",3.73327566763668
"vividly",3.96555021691942
"continuous",4.6269512722564
"combined",4.08028138304067
"platform",3.29162754227577
"reviews",2.82835197724418
"town",2.53872167448486
"arounf",2.32117104166388
"questioned",4.53898422713433
"per",3.47974076581504
"versus",2.1698650249382
"heavier",3.3637956784291
"weekends",1.55275080290682
"degrees",2.9485868066993
"tales",2.33988384040739
"grateful",4.59167242240789
"ambulances",5.518731136519
"inevitably",2.59752302418338
"practical",1.48663821079046
"doorstep",4.39762687773511
"pompous",1.51769515474248
"resume",2.18227990722009
"softer",3.91956538059085
"country",3.45982541993354
"reflect",3.73189596583836
"appalled",5.56183608152876
"tone",2.04742146641534
"accusations",4.561552645317
"befell",3.55652336729621
"afterward",1.80582800793234
"week",3.51088432911554
"jerk",1.48153618200205
"branch",2.99934108857658
"pockets",2.99840199170918
"charged",4.96315981109336
"victims",4.98897338962159
"doors",3.33088090906929
"generally",1.16156577742523
"presumably",1.10911400393333
"is",3.14820973528452
"dictator",3.89035494456918
"monster",5.08256256164878
"vets",4.12464086507141
"wasn",2.00299838660636
"shares",3.25713567391925
"20",4.05904153435211
"dismantling",3.87557653787832
"guarded",2.36904159227456
"engage",3.62665138385027
"blowing",3.15826915505186
"physically",4.48584235501869
"flash",1.70897794961675
"importance",2.91426843539263
"politician",2.15039380074023
"adopt",4.41210630357366
"vegan",4.28044751704939
"sarah",4.66565952156222
"""!""""""",2.23877081014407
"senate",4.5686761987299
"tongue",2.56656963159545
"pence",4.15303089271184
"curiosity",2.33624827014659
"staple",2.87544139783556
"colloquially",1.76331369871286
"malfunctioned",4.33505479108786
"model",1.66046592275841
"stole",3.63973080441356
"originally",1.22757046625437
"hails",4.05543428042753
"sway",1.73416224580233
"psychotherapy",3.9251019625433
"operating",3.20170279138956
"surpring",2.23877081014407
"currently",3.36748877078173
"bloggers",2.29479385045802
"shortage",3.58426208027907
"yemeni",3.34457432910288
"explosion",4.94503533387492
"conveyor",5.91588864724352
"internalized",3.77428379844755
"twenty",3.82889777874156
"nail",2.55881409304149
"wherever",2.81110321450756
"spit",3.88969736549252
"nightmare",4.52039753376236
"fasciitis",4.93002475390916
"39",4.53958189476996
"soemoen",2.23877081014407
"instance",3.20311247684169
"throwing",3.33536507204416
"injuries",3.79749893735502
"bites",2.83732613327298
"hamas",4.98116551600018
"defending",2.47334079383017
"rats",2.53059178343578
"vigilante",3.85956823287315
"centers",4.01202837851331
"encouraging",4.25721801962882
"favorite",2.83476481969175
"charge",3.38471532167458
"latino",4.0095729893212
"heard",3.03380906710063
"nervous",3.81115801259411
"target",4.05869095914325
"healing",4.90476837402264
"bags",4.56584477604524
"reaction",3.58640422824466
"illegally",4.57701322584356
"pulled",4.21140572474735
"magazine",2.14006663542094
"bothers",1.72189450969928
"wraps",2.77553564281674
"kill",4.93366033586655
"letters",3.88057162812701
"guantanamo",4.50137154320196
"arabia",3.96173225113286
"molest",4.72387938505607
"9",4.21940273369795
"rallying",2.9951689964089
"acted",3.56086842950051
"road",2.45535126302396
"pipes",1.77968560635602
"fan",1.95794445252973
"smokey",1.84818719718546
"penalty",4.22396489121481
"trade",2.82088591399856
"educated",1.58436269361149
"highlighting",3.97605053205009
"trainers",3.64532145477525
"somewhat",1.23437674400865
"excerpt",3.45547344886722
"pretend",1.7360105241075
"pulmonary",2.71530060324654
"turtle",4.80327033206116
"treatments",3.56724628359546
"interesting",1.07468670487951
"bed",4.43397383091391
"fahrenheit",3.76733228328394
"chemicals",5.40837346282278
"young",3.59388465401803
"counting",4.77140627761385
"guilt",5.39839813067841
"myself",2.85556111181197
"rioters",4.23716779847126
"strawberry",3.25810522520852
"pipedreams",1.32255342223589
"cliff",2.96362347964486
"influenced",3.01595078163756
"besides",1.2566801019677
"apparently",1.3961170209661
"led",3.78277631029796
"cool",1.49082134988393
"undue",4.10378586551572
"gradually",3.54867134092342
"divers",2.60976428246835
"shortness",3.69266171797873
"internet",2.31348970444136
"legislate",3.16623353273442
"strongest",3.64179379356693
"color",4.36314942591901
"skunk",4.42306747379985
"detected",3.40445685810457
"darker",4.03954147284963
"stop",5.06902449591194
"fished",2.95126496330345
"ayotte",5.3595675565972
"cope",3.91707910196779
"warrant",1.94330802841488
"overly",2.03694937991518
"talented",3.23278902313713
"overseeing",3.61686385240264
"ensue",1.97256586251108
"unattractive",3.81923610152538
"12",4.43458552870842
"modern",2.46438136195403
"ongoing",4.36999016150036
"mix",2.99824987637573
"el",2.21648146271145
"fortune",3.0673449740699
"coconuts",2.65245476883969
"montana",3.023706605459
"internal",2.8381070461132
"unexplained",4.17847572918009
"stipulations",2.19080206401088
"nigeria",4.03938582854904
"750",3.4123095360691
"fortunately",1.23221601549082
"graduated",1.96992168309256
"sexist",3.74747002699912
"compatable",1.41487046601127
"migrant",4.94574537328057
"discriminating",3.8690824682427
"considerations",2.89526601098675
"tug",3.59825587779045
"mates",1.60998357123877
"rioting",4.52567822381875
"required",1.96972819647481
"buses",4.83116000355603
"genuinely",3.02675810082673
"promised",3.48475607472301
"dreamworld",1.58482926824633
"inaccessible",1.90036173320574
"spots",2.98030751230471
"tactics",3.73624641429765
"smuggling",3.64354770344347
"producers",3.87684511987563
"sensationalism",3.89559042525147
"artist",3.49109583816601
"zealots",1.78596627651751
"hottest",3.96036802232927
"policies",3.67012856470478
"omg",5.15307655052489
"lasted",1.57546679439771
"penis",2.96624346528137
"acclaimed",3.80979200630986
"rocket",3.41662667001956
"room",3.97625900157487
"2012",3.81532217786975
"crusade",3.91418353423182
"relief",2.97589542131123
"exclusive",2.533460619309
"deepest",4.11766697543037
"rent",4.07515064299288
"skin",3.7567568403734
"academics",1.59462029339791
"formatting",2.49440928726023
"backwards",3.96835906370215
"waged",4.5188712668302
"marshal",3.53095520307946
"positive",3.47325588890046
"kumail",2.23877081014407
"outdated",3.71411029682087
"asleep",3.53673191444646
"orange",3.12356703723264
"lemon",1.92761697067589
"medieval",2.55099566805471
"afghan",5.37299244781991
"disagreeing",1.96476738371027
"handful",3.22262982897845
"neglience",4.99492505992893
"angeles",3.22946332121705
"television",3.50310511912536
"due",3.48609857025141
"liked",1.42309024207938
"motivated",3.44722807394083
"beauty",3.43698473698613
"overwhelming",5.42594223651464
"extinct",2.32107815771898
"evening",2.57243429277088
"twitching",2.53753542385844
"intentions",3.20961736823344
"shield",3.34649584515777
"bang",2.33242260989616
"super",3.58256273814443
"explicit",3.24849575537709
